"count","prop","bin","behav","param"
623,0.102382908792112,1,1,"SL"
1185,0.194741166803615,2,1,"SL"
1971,0.323911257189811,3,1,"SL"
1402,0.230402629416598,4,1,"SL"
904,0.148562037797864,5,1,"SL"
1943,0.859734513274336,1,2,"SL"
317,0.140265486725664,2,2,"SL"
0,0,3,2,"SL"
0,0,4,2,"SL"
0,0,5,2,"SL"
0,0,1,3,"SL"
1080,0.995391705069124,2,3,"SL"
5,0.00460829493087558,3,3,"SL"
0,0,4,3,"SL"
0,0,5,3,"SL"
408,0.0662552776875609,1,1,"TA"
600,0.0974342318934719,2,1,"TA"
835,0.135595972718415,3,1,"TA"
1174,0.190646313738227,4,1,"TA"
1317,0.213868139006171,5,1,"TA"
858,0.139330951607665,6,1,"TA"
537,0.0872036375446574,7,1,"TA"
429,0.0696654758038324,8,1,"TA"
702,0.316358720144209,1,2,"TA"
205,0.092383956737269,2,2,"TA"
157,0.0707525912573231,3,2,"TA"
58,0.0261378999549347,4,2,"TA"
71,0.03199639477242,5,2,"TA"
127,0.0572329878323569,6,2,"TA"
288,0.129788192879676,7,2,"TA"
611,0.275349256421812,8,2,"TA"
104,0.0937781785392245,1,3,"TA"
221,0.199278629395852,2,3,"TA"
101,0.09107303877367,3,3,"TA"
173,0.155996393146979,4,3,"TA"
51,0.0459873760144274,5,3,"TA"
90,0.0811541929666366,6,3,"TA"
134,0.12082957619477,7,3,"TA"
235,0.21190261496844,8,3,"TA"
